LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA14700,19305,20130,1212,1193,2403,2499,2278,4777,1074,940,2017,1081,886,1963,3132,3307,6440,3354,3590,6953,2526,2709,5239,1897,2095,3990,1458,1655,3110,843,986,1824,236,489,725,80,69,15200,3593,11306,3746,1391
LGA14750,5643,5808,354,345,703,864,853,1715,453,458,909,312,308,618,676,688,1366,595,658,1258,706,680,1385,723,725,1447,539,520,1065,316,395,710,104,182,284,390,432,3624,890,3171,787,343
LGA14850,21758,22573,1086,1022,2106,2837,2637,5479,1393,1262,2657,1172,1107,2285,2326,2429,4751,2431,2765,5196,2898,3081,5986,3294,3347,6638,2739,2800,5537,1188,1432,2620,393,687,1081,1307,1290,12956,4360,15422,2771,1342
LGA14870,10529,10313,496,464,958,1257,1204,2461,600,502,1104,560,450,1010,1183,1091,2273,1104,1042,2144,1297,1320,2613,1573,1594,3171,1458,1451,2910,805,856,1666,189,339,534,861,761,6688,1710,6877,1235,659
LGA14900,116163,117283,8663,7999,16664,17921,16984,34907,8408,7810,16212,8508,7977,16481,16158,17300,33456,16653,17325,33975,14492,15111,29602,12640,12527,25169,7754,8230,15987,3802,4245,8048,1167,1770,2943,1839,1999,84154,9945,74218,21489,11683
LGA14920,3789,3761,208,179,385,508,442,949,225,218,446,162,163,330,348,358,703,382,410,786,470,493,961,576,561,1136,564,510,1073,285,316,600,72,112,189,543,580,2413,642,2226,445,223
LGA14950,1649,1669,100,103,204,242,237,482,92,103,199,73,67,136,119,145,265,142,167,309,200,194,389,264,261,527,239,195,433,124,128,248,47,70,125,80,87,1221,208,862,234,91
LGA15050,43917,46310,3175,3039,6220,6703,6345,13049,2830,2739,5568,2720,2755,5471,6251,6687,12943,5852,6193,12042,5272,5717,10990,4713,5226,9936,3887,4292,8181,1984,2354,4334,525,962,1494,3235,3507,30924,8970,26328,7898,3209
LGA15240,47086,49495,1945,1964,3907,5204,4960,10165,2417,2252,4668,1835,1618,3453,3601,3995,7601,3959,4429,8382,5259,5655,10914,7316,8103,15414,8806,8848,17646,5194,5341,10533,1554,2333,3884,3462,3553,35173,8094,30114,4873,2657
LGA15270,12945,12766,775,752,1528,1859,1725,3588,783,655,1438,579,515,1092,1440,1502,2945,1477,1505,2981,1651,1677,3329,1764,1732,3497,1526,1411,2935,861,918,1782,227,370,598,887,862,8629,2524,7097,1963,727
LGA15300,6376,6369,458,361,815,904,903,1806,326,352,678,390,401,795,831,867,1699,717,787,1508,801,805,1607,879,846,1723,640,599,1238,353,337,690,83,111,199,1199,1338,3237,1061,3388,757,297
LGA15350,13033,15294,612,610,1220,1718,1674,3391,823,800,1619,644,696,1346,1345,1591,2935,1630,2011,3649,1910,2332,4238,1727,2003,3727,1332,1744,3073,961,1259,2216,346,570,916,49,33,10878,2499,8357,2280,1106
LGA15520,6409,6441,360,301,664,750,755,1504,340,305,643,232,210,449,582,610,1194,609,665,1277,753,783,1533,918,1006,1926,1064,969,2034,616,608,1223,172,229,401,231,259,4929,1151,3139,874,388
LGA15560,1751,1601,103,86,186,204,173,383,89,79,168,89,85,171,230,177,406,181,173,353,200,215,418,288,260,545,229,209,436,103,102,214,38,44,76,148,146,1124,311,942,207,105
LGA15650,8397,7957,553,480,1028,1280,1152,2430,560,490,1053,464,404,870,1177,1128,2309,1094,1018,2112,1074,1046,2116,1020,958,1977,726,727,1451,363,381,746,87,165,256,1007,892,4844,1726,4823,1238,477
LGA15700,9937,10463,481,500,978,1135,1093,2234,565,510,1071,376,328,705,800,880,1675,842,986,1828,1086,1226,2313,1645,1816,3461,1758,1708,3471,956,996,1953,291,429,713,803,828,6595,1835,6802,1082,558
LGA15750,6397,6307,393,372,764,906,871,1783,338,348,690,385,324,714,758,800,1564,702,691,1388,802,742,1552,928,898,1822,689,659,1345,368,416,787,117,184,303,918,965,4027,1112,3450,894,345
LGA15800,2823,2873,174,148,324,409,410,820,160,157,317,136,114,252,282,263,549,296,321,616,324,340,667,402,418,822,358,328,687,201,242,437,76,127,203,359,362,1758,425,1653,361,140
LGA15850,3218,3144,230,176,405,503,440,944,199,174,370,152,150,301,334,378,712,326,354,687,350,343,703,429,420,854,382,370,749,239,234,473,77,93,173,652,650,1979,437,1761,414,174
